ano,cnae_divisao,emprego_nacional
2019,36,129006
2019,37,11617
2019,38,204319
2019,39,1601
2019,41,784976
2019,42,572873
2019,43,629541
2019,45,935816
2019,46,1667508
2019,47,6550182
2019,49,1685851
2019,50,40233
2019,51,62986
2019,52,419330
2019,53,162708
2019,55,338898
2019,56,1597910
2019,58,62223
2019,59,29380
2019,60,81497
2019,61,224310
2019,62,399121
2019,63,90418
2019,64,649834
2019,65,171885
2019,66,136510
2019,68,154951
2019,69,461228
2019,70,110554
2019,71,267963
2019,72,46325
2019,73,115846
2019,74,107232
2019,75,16997
2019,77,217936
2019,78,612064
2019,79,67956
2019,80,609470
2019,81,1541889
2019,82,1434482
2019,84,8906138
2019,85,2076397
2019,86,2153756
2019,87,125718
2019,88,146121
2019,90,14795
2019,91,6430
2019,92,935
2019,93,233804
2019,94,749062
2019,95,88537
2019,96,204847
2019,97,2013
2019,99,2860
2020,01,1345074
2020,02,102462
2020,03,18854
2020,05,3307
2020,06,22340
2020,07,95566
2020,08,81721
2020,09,24732
2020,10,1634511
2020,11,120105
2020,12,9391
2020,13,251830
2020,14,477239
2020,15,286892
2020,16,160180
2020,17,175677
2020,18,86585
2020,19,145925
2020,20,279969
2020,21,107031
2020,22,415025
2020,23,365270
2020,24,203878
2020,25,415400
2020,26,113200
2020,27,193592
2020,28,345619
2020,29,412522
2020,30,67599
2020,31,235539
2020,32,151444
2020,33,203077
2020,35,130861
2020,36,127737
2020,37,11861
2020,38,216189
2020,39,1781
2020,41,820061
2020,42,636563
2020,43,655182
2020,45,897331
2020,46,1681880
2020,47,6412135
2020,49,1644455
2020,50,38678
2020,51,48256
2020,52,417799
2020,53,159819
2020,55,274509
2020,56,1318642
2020,58,56923
2020,59,24020
2020,60,77678
2020,61,250016
2020,62,434408
2020,63,97636
2020,64,581075
2020,65,177583
2020,66,144139
2020,68,158699
2020,69,455313
2020,70,114892
2020,71,276039
2020,72,48867
2020,73,117228
2020,74,114243
2020,75,19428
2020,77,210233
2020,78,741108
2020,79,47195
2020,80,610396
2020,81,1532420
2020,82,1504101
2020,84,8677551
2020,85,1962750
2020,86,2297800
2020,87,132081
2020,88,128113
2020,90,11073
2020,91,5341
2020,92,912
2020,93,204895
2020,94,700277
2020,95,81766
2020,96,189968
2020,97,1882
2020,99,2832
2021,01,1398747
2021,02,113327
2021,03,19742
