id_municipio,cnae_divisao,S_xi
2111300,88,0.0029425951383984456
2111300,90,2.122502815854634e-4
2111300,91,1.555961717977804e-4
2111300,92,1.3434932164331581e-5
2111300,93,0.0011889436074692134
2111300,94,0.0399103948507015
2111300,95,0.0014147987196428912
2111300,96,0.0032823061775657317
2111300,97,1.9237240198372962e-4
2304400,00,0.08014142934722364
2304400,01,0.003818235026792528
2304400,02,3.397088311304223e-5
2304400,03,1.675819643305341e-4
2304400,05,2.7406005536571013e-6
2304400,06,5.635677308612489e-4
2304400,07,1.3868068178794052e-5
2304400,08,3.057290750312702e-4
2304400,09,7.964233573411569e-5
2304400,10,0.020421519024931896
2304400,11,0.003050312493499022
2304400,12,1.1986819311091662e-4
2304400,13,0.006722699901212496
2304400,14,0.0556496291884258
2304400,15,0.006380601689000955
2304400,16,0.0013358726162546542
2304400,17,8.601633387325449e-4
2304400,18,0.002804481124215072
2304400,19,0.0011365485126830564
2304400,20,0.0014509224695750896
2304400,21,0.0010534251403842925
2304400,22,0.0028540729174537306
2304400,23,0.0018271462704268497
2304400,24,8.174591089952436e-4
2304400,25,0.0037040787540249744
2304400,26,5.617261034515236e-4
2304400,27,0.0020140660104526415
2304400,28,0.001221987855022538
2304400,29,6.813446747377115e-4
2304400,30,0.0010895808412768847
2304400,31,0.0023048717495049963
2304400,32,0.0011882460515138572
2304400,33,0.0014613946077047307
2304400,35,0.0019763205760245377
2304400,36,0.0013948908526767738
2304400,37,5.860016704124405e-4
2304400,38,0.005469155132493784
2304400,39,8.76363989554981e-6
2304400,41,0.031743662664216285
2304400,42,0.014339390059376384
2304400,43,0.008506767416417501
2304400,45,0.02090169549927911
2304400,46,0.028843206897788316
2304400,47,0.1311449994047909
2304400,49,0.030920803552990178
2304400,50,6.890603897595948e-4
2304400,51,0.0014513989979306992
2304400,52,0.0057313856996879025
2304400,53,0.006590170386468383
2304400,55,0.007389756170061308
2304400,56,0.03206661326556167
2304400,58,0.0043165027171700706
2304400,59,6.444974980427715e-4
2304400,60,0.0025555744827893746
2304400,61,0.001983230880122017
2304400,62,0.004101028783325097
2304400,63,0.001692514897848153
2304400,64,0.014289117914677385
2304400,65,0.0029174266588326662
2304400,66,0.0018849677275046884
2304400,68,0.0031205001749183147
2304400,69,0.004542695889340678
2304400,70,0.0019455135134100491
2304400,71,0.002739891333649766
2304400,72,8.672521986611179e-4
2304400,73,0.0011164597578477134
2304400,74,0.0012693427292158306
2304400,75,7.137898952612291e-5
2304400,77,0.005106157647510871
2304400,78,0.036260973925213005
2304400,79,0.0016469804034291392
2304400,80,0.011501385667113227
2304400,81,0.03719980638587123
2304400,82,0.02612107938771931
2304400,84,0.1668708222991298
2304400,85,0.04779988360960092
2304400,86,0.03205396975800141
2304400,87,0.0022902040982369573
2304400,88,0.0020984961636423033
2304400,90,2.673080036000672e-4
2304400,91,1.2146791941213274e-5
2304400,92,2.9103907821669583e-5
2304400,93,0.0036469257795804385
2304400,94,0.02990627577554872
2304400,95,0.003249556495098605
2304400,96,0.008123697456350094
2304400,97,1.6375777329436292e-4
2304400,99,4.581326989627996e-6
2611606,00,0.04679224921393247
2611606,01,0.004273748498150423
2611606,02,6.960380273847701e-5
2611606,03,2.818695850057325e-4
2611606,05,8.828655398959182e-5
2611606,06,1.533240596118932e-5
2611606,07,1.2485794397290918e-5
2611606,08,9.711974296979246e-4
2611606,09,2.3349439755444845e-4
2611606,10,0.015042869083536628
2611606,11,0.0020357230697018946
2611606,12,2.2655941140924465e-4
2611606,13,8.321608535215776e-4
2611606,14,0.0052050910223736535
2611606,15,7.58063649205534e-4
2611606,16,4.7474330273656094e-4
2611606,17,0.0011545768093468463
2611606,18,0.0021136767173032148
2611606,19,8.536608582037663e-5
2611606,20,0.003227655405393092
2611606,21,5.181497240063037e-4
2611606,22,0.0032872750255262886
2611606,23,0.003914136644850663
2611606,24,0.001275030879514437
2611606,25,0.002707712653300832
2611606,26,8.386443124792744e-4
2611606,27,0.002425308072365083
2611606,28,0.001305156732903172
2611606,29,4.7536225670815214e-4
2611606,30,2.380134449867096e-4
2611606,31,0.0017427144323374911
2611606,32,0.0012907218741847737
2611606,33,0.0013879737182740553
2611606,35,0.003444874934221005
2611606,36,0.0061837698116561325
2611606,37,0.003964374439546715
2611606,38,4.941347912972185e-4
2611606,39,1.1325196520008466e-4
2611606,41,0.03828163824279987
2611606,42,0.014958244751182227
2611606,43,0.011130284962506924
2611606,45,0.019083770712076255
2611606,46,0.035524990216962725
2611606,47,0.11912990880821453
2611606,49,0.022579750068206218
2611606,50,2.439891753560614e-4
2611606,51,0.001290589536122533
2611606,52,0.005842805916128386
2611606,53,0.004295345476775907
2611606,55,0.008078831844479419
2611606,56,0.03174555492335006
2611606,58,0.004171552528512431
2611606,59,4.591821528784416e-4
2611606,60,0.001204225577850624
2611606,61,0.0024014648621800997
2611606,62,0.005537633533920451
2611606,63,0.0018366036559350517
2611606,64,0.014092285822618145
2611606,65,0.0025999114059528177
2611606,66,0.003040481746711997
2611606,68,0.0021665898582969917
2611606,69,0.005401369172701636
2611606,70,0.008967469273933814
2611606,71,0.006852864702846829
2611606,72,4.915018770723604e-4
2611606,73,0.0017159694544677175
2611606,74,0.001232423122069328
2611606,75,8.29641099471935e-5
2611606,77,0.005196164498142786
2611606,78,0.017955919116541298
2611606,79,0.001982660351715664
2611606,80,0.009882379587558318
2611606,81,0.0352607462835093
2611606,82,0.040792287601549154
2611606,84,0.2595154953510944
2611606,85,0.04185224943218833
2611606,86,0.046451073999564135
2611606,87,0.0031067273288931906
2611606,88,0.001722572878801762
2611606,90,2.364333984759306e-4
2611606,91,1.6152107184977502e-4
2611606,92,1.8675115077305106e-4
2611606,93,0.00416931297540557
2611606,94,0.028492311397648226
2611606,95,0.0028527866419056423
2611606,96,0.006064689295462064
2611606,97,1.123335235626595e-4
2611606,99,1.4369105976628656e-4
2800308,00,0.06296291834221963
2800308,01,0.006950264520097786
2800308,02,1.59671290037576e-5
2800308,03,2.9103685689981017e-5
2800308,05,1.6292925068837608e-5
2800308,06,0.00592436075759142
2800308,07,1.0753351357531735e-5
2800308,08,4.3938788107403975e-4
2800308,09,0.0011375413371960343
2800308,10,0.006580089734354143
2800308,11,3.3705545186019363e-4
2800308,12,1.0136557506123565e-4
2800308,13,0.009240242826484835
2800308,14,0.006895064766326287
2800308,15,2.944180599555647e-4
2800308,16,5.298074593412845e-4
2800308,17,7.271969482102239e-4
2800308,18,0.0017019514626939233
2800308,19,4.6314359282694515e-4
2800308,20,5.858850223320616e-4
2800308,21,1.088469843578112e-4
2800308,22,0.002358876866609913
2800308,23,0.0034806746286299073
2800308,24,1.2947823801413578e-4
2800308,25,0.0028379046238422205
2800308,26,0.0010279451108483153
2800308,27,0.004611423031844377
2800308,28,3.017888836444652e-4
2800308,29,1.795665579473262e-4
2800308,30,3.481891060199767e-4
2800308,31,0.0020206918699575602
2800308,32,5.618801349987355e-4
2800308,33,0.0011960432201740061
2800308,35,0.00542983040273119
2800308,36,0.0054909776854557175
2800308,37,2.2333642282051567e-5
2800308,38,9.757386688586363e-5
2800308,41,0.054652666746985164
2800308,42,0.0073716616332528346
2800308,43,0.014770763228834593
2800308,45,0.01727883817589933
2800308,46,0.0222703014326273
2800308,47,0.12047297092339104
2800308,49,0.027147575000304392
2800308,50,2.7244278633106484e-4
2800308,51,5.257119257330073e-4
2800308,52,0.002633996149659945
2800308,53,0.0037056629313278223
2800308,55,0.008830390415950526
2800308,56,0.027815444482012723
2800308,58,0.0027031514368355456
2800308,59,4.446554352333312e-4
2800308,60,0.0038742615167917
2800308,61,0.0014821605006447602
2800308,62,0.0014162436416805578
2800308,63,0.0036797672992090634
2800308,64,0.011458138655757476
2800308,65,0.002406571658204763
2800308,66,0.0028766527256293972
2800308,68,0.0011421575781758136
2800308,69,0.0038747228753052646
2800308,70,3.935273041206612e-4
2800308,71,0.002904379755898347
2800308,72,0.0016242562594548093
2800308,73,0.0010108690151540293
2800308,74,0.001199893273089845
2800308,75,1.2335880899180487e-4
2800308,77,0.004421194668526009
2800308,78,0.01066533960152894
2800308,79,0.0016220341412021416
2800308,80,0.02125726034435821
2800308,81,0.029746447189327438
2800308,82,0.011078557581320586
2800308,84,0.25518283992814894
2800308,85,0.09339918789718205
