ano,id_municipio,cnae_divisao,vinculos_ativos
2016,4106902,47,108670
2016,4106902,49,28018
2016,4106902,50,19
2016,4106902,51,358
2016,4106902,52,8904
2016,4106902,53,4311
2016,4106902,55,4347
2016,4106902,56,34245
2016,4106902,58,4229
2016,4106902,59,586
2016,4106902,60,1736
2016,4106902,61,10045
2016,4106902,62,8961
2016,4106902,63,3180
2016,4106902,64,17924
2016,4106902,65,5016
2016,4106902,66,2132
2016,4106902,68,3238
2016,4106902,69,11072
2016,4106902,70,3435
2016,4106902,71,4788
2016,4106902,72,716
2016,4106902,73,2494
2016,4106902,74,1307
2016,4106902,75,278
2016,4106902,77,4293
2016,4106902,78,16568
2016,4106902,79,1763
2016,4106902,80,21397
2016,4106902,81,41071
2016,4106902,82,34498
2016,4106902,84,198157
2016,4106902,85,45007
2016,4106902,86,40519
2016,4106902,87,1489
2016,4106902,88,4522
2016,4106902,90,497
2016,4106902,91,408
2016,4106902,92,16
2016,4106902,93,5196
2016,4106902,94,16709
2016,4106902,95,1981
2016,4106902,96,2855
2016,4106902,97,35
2016,4106902,99,21
2017,4106902,01,692
2017,4106902,02,319
2017,4106902,03,1
2017,4106902,05,1
2017,4106902,07,12
2017,4106902,08,69
2017,4106902,09,28
2017,4106902,10,8470
2017,4106902,11,1058
2017,4106902,13,1288
2017,4106902,14,1652
2017,4106902,15,670
2017,4106902,16,1395
2017,4106902,17,2171
2017,4106902,18,2104
2017,4106902,19,55
2017,4106902,20,2545
2017,4106902,21,132
2017,4106902,22,3197
2017,4106902,23,1910
2017,4106902,24,1761
2017,4106902,25,4745
2017,4106902,26,3063
2017,4106902,27,5935
2017,4106902,28,6723
2017,4106902,29,9465
2017,4106902,30,50
2017,4106902,31,1687
2017,4106902,32,2492
2017,4106902,33,3499
2017,4106902,35,8015
2017,4106902,36,7444
2017,4106902,37,157
2017,4106902,38,3486
2017,4106902,39,93
2017,4106902,41,12917
2017,4106902,42,12711
2017,4106902,43,11185
2017,4106902,45,17984
2017,4106902,46,23683
2017,4106902,47,105806
2017,4106902,49,27299
2017,4106902,50,28
2017,4106902,51,360
2017,4106902,52,9966
2017,4106902,53,3519
