ano,mes,id_municipio,cnae_divisao,saldo_municipio,fonte
2008,8,1200401,59,2,antigo
2008,8,1200401,60,0,antigo
2008,8,1200401,61,2,antigo
2008,8,1200401,62,-1,antigo
2008,8,1200401,63,1,antigo
2008,8,1200401,64,1,antigo
2008,8,1200401,65,0,antigo
2008,8,1200401,66,0,antigo
2008,8,1200401,68,0,antigo
2008,8,1200401,69,1,antigo
2008,8,1200401,70,2,antigo
2008,8,1200401,71,14,antigo
2008,8,1200401,72,1,antigo
2008,8,1200401,75,1,antigo
2008,8,1200401,77,6,antigo
2008,8,1200401,79,-1,antigo
2008,8,1200401,80,42,antigo
2008,8,1200401,81,-11,antigo
2008,8,1200401,82,3,antigo
2008,8,1200401,84,-15,antigo
2008,8,1200401,85,5,antigo
2008,8,1200401,86,10,antigo
2008,8,1200401,88,0,antigo
2008,8,1200401,90,0,antigo
2008,8,1200401,93,-5,antigo
2008,8,1200401,94,11,antigo
2008,8,1200401,95,-3,antigo
2008,8,1200401,96,-3,antigo
2008,9,1200401,00,1,antigo
2008,9,1200401,01,8,antigo
2008,9,1200401,02,-4,antigo
2008,9,1200401,08,-4,antigo
2008,9,1200401,10,8,antigo
2008,9,1200401,11,12,antigo
2008,9,1200401,13,5,antigo
2008,9,1200401,14,10,antigo
2008,9,1200401,15,-7,antigo
2008,9,1200401,16,-20,antigo
2008,9,1200401,17,2,antigo
2008,9,1200401,20,3,antigo
2008,9,1200401,23,4,antigo
2008,9,1200401,24,2,antigo
2008,9,1200401,25,-2,antigo
2008,9,1200401,27,-2,antigo
2008,9,1200401,28,-1,antigo
2008,9,1200401,31,-7,antigo
2008,9,1200401,33,4,antigo
2008,9,1200401,35,-2,antigo
2008,9,1200401,36,1,antigo
2008,9,1200401,38,-3,antigo
2008,9,1200401,41,6,antigo
2008,9,1200401,42,20,antigo
2008,9,1200401,43,23,antigo
2008,9,1200401,45,13,antigo
2008,9,1200401,46,-4,antigo
2008,9,1200401,47,22,antigo
2008,9,1200401,49,8,antigo
2008,9,1200401,51,-2,antigo
2008,9,1200401,52,2,antigo
2008,9,1200401,53,-5,antigo
2008,9,1200401,55,1,antigo
2008,9,1200401,56,-19,antigo
2008,9,1200401,60,-3,antigo
2008,9,1200401,61,2,antigo
2008,9,1200401,63,2,antigo
2008,9,1200401,64,3,antigo
2008,9,1200401,65,-2,antigo
2008,9,1200401,66,-2,antigo
2008,9,1200401,68,-3,antigo
2008,9,1200401,69,9,antigo
2008,9,1200401,71,0,antigo
2008,9,1200401,72,0,antigo
2008,9,1200401,73,1,antigo
2008,9,1200401,77,16,antigo
2008,9,1200401,79,6,antigo
2008,9,1200401,80,13,antigo
2008,9,1200401,81,-8,antigo
2008,9,1200401,82,11,antigo
2008,9,1200401,84,41,antigo
2008,9,1200401,85,5,antigo
2008,9,1200401,86,10,antigo
2008,9,1200401,88,-1,antigo
2008,9,1200401,93,1,antigo
2008,9,1200401,94,-2,antigo
2008,9,1200401,95,-1,antigo
2008,9,1200401,96,0,antigo
